Time,Height,HeightError,MaxWidth,MaxWidthError,VelocityInst,VelocityInstError,VelocityAvg,VelocityAvgError,AccelerationInst,AccelerationInstError,AccelerationAvg,AccelerationAvgError,rowPixel,colPixel
144,1893.72878697946,160.695070076121,1341.08346586904,138.686914851408,10.4888992382535,321.076366189571,13.1508943540241,1.11593798663973,0.0121692877837631,0.62717495499237,0.0913256552362782,0.00774956935166478,348,558
145,1904.22990548825,161.009218535562,1349.89543626202,138.946832685554,10.5011185087883,321.704288611683,13.13262003785,1.11040840369353,0.0122192705348425,0.627922422112078,0.0905697933644829,0.00765798899098986,346,560
146,1925.26900116706,161.638645078944,1357.21855546889,140.027687691739,21.0390956788074,322.647863614506,13.1867739805963,1.10711400739003,10.5379771700191,0.943575002823309,0.0903203697301117,0.00758297265335636,342,562
147,1935.80707922435,161.95392624434,1357.71212663971,139.75409735008,10.5380780572855,323.592571323284,13.1687556409819,1.10172738941728,-10.5010176215219,0.944707708778196,0.0895833717073602,0.00749474414569577,340,567
148,1956.9205493913,162.585632109593,1364.04375450736,141.380306979501,21.1134701669589,324.539558353933,13.2224361445358,1.09855156830806,10.5753921096734,0.946987030648643,0.0893407847603773,0.00742264573181121,336,581
149,1967.49604351149,162.902059925777,1376.72375007339,142.041874487596,10.5754941201849,325.48769203537,13.204671432963,1.09330241560924,-10.537976046774,0.948133681436957,0.0886219559259263,0.00733760010476001,334,575.375
150,1978.08411197892,163.218873085022,1376.23195496973,142.314731925718,10.5880684674275,326.120933010799,13.1872274131928,1.08812582056681,0.012574347242662,0.633240975428862,0.0879148494212852,0.00725417213711207,332,576.8125
151,1999.29817806969,163.853661730337,1386.10739348434,139.437752063688,21.2140660907689,327.072534815359,13.2403852852297,1.08512358761813,10.6259976233414,0.951601804560369,0.0876846707631107,0.00718624892462336,328,590
152,2009.92427923139,164.171640380173,1393.88805655131,140.244533132736,10.6261011617034,328.02530211051,13.2231860475749,1.08007658144851,-10.5879649290655,0.952767295151489,0.0869946450498351,0.00710576698321386,326,581
153,2031.21487808874,164.808774288807,1402.67332624237,140.503701073382,21.2905988573534,328.980414668981,13.2759142358741,1.07718153129939,10.66449769565,0.955112558470091,0.0867706812802231,0.00704040216535552,322,597
154,2041.87948049175,165.127932747669,1416.67772082582,142.933136382936,10.6646024030119,329.936707036477,13.2589576655309,1.07225930355629,-10.6259964543415,0.956292367496189,0.0860971276982524,0.00696272275036555,320,596.125
155,2052.55702167787,165.447487686476,1443.95902457613,143.162646560599,10.6775411861131,330.575420434145,13.2423033656637,1.06740314636436,0.0129387831011627,0.638713397668653,0.0854342152623462,0.00688647191202814,318,594.142857142857
156,2073.95113199265,166.087793471702,1452.19471813277,143.693442068178,21.3941103147777,331.535281158178,13.2945585384144,1.06466534276732,10.7165691286646,0.959860724032296,0.0852215290924,0.00682477783825204,314,606
157,2084.66780741885,166.408547567566,1460.9376629255,143.951423647528,10.7166754262039,332.496341039267,13.278138900757,1.05992705457048,-10.6774348885738,0.961059881089568,0.0845741331258408,0.00675112773611772,312,602.75
158,2106.1406660676,167.051266336452,1464.27844960239,144.625199104342,21.4728586487531,333.459813904018,13.3300042156177,1.05728649580033,10.7561832225492,0.963472864750656,0.0843671152887199,0.00669168668228057,308,612
159,2116.89695680446,167.373234296708,1468.64534540164,144.754061824418,10.7562907368574,334.42450063316,13.3138173383928,1.05266185092269,-10.7165679118957,0.964686729141931,0.0837347002414643,0.00662051478567729,306,614
160,2127.66656050126,167.695610176285,1467.61930403818,145.298458287242,10.7696036967991,335.068844472992,13.2979160031329,1.04809756360178,0.0133129599416861,0.644343839832572,0.0831119750195804,0.00655060977251113,304,603.416666666667
161,2143.84604662332,168.179942476535,1474.81065539281,146.371717553411,16.1794861220651,335.87555265282,13.3158139541821,1.04459591600333,5.40988242526601,0.806708179827865,0.0827069189700754,0.006488173391325,301,623
162,2160.05579311348,168.665201959375,1479.16958228724,146.500357476444,16.2097464901526,336.845144435911,13.3336777352684,1.04114322197145,0.0302603680875109,0.969591783090436,0.0823066526868418,0.00642681001216946,298,625
163,2181.71618021469,169.313666677269,1482.50642222446,147.172219388933,21.6603871012153,337.978868636644,13.3847618418079,1.03873415139429,5.45064061106268,1.13372420073347,0.082115103323975,0.00637260215579318,294,628
164,2192.56680870966,169.638525152071,1481.99779937491,147.443706640944,10.8506284949672,338.95219182934,13.3693098092052,1.03438125092726,-10.8097586062481,0.973323192696171,0.0815201817634466,0.00630720274955649,292,630
165,2203.43113448116,169.963803300497,1489.18101685667,148.514441429002,10.8643257715007,339.602328452569,13.3541280877646,1.03008365636665,0.0136972765335486,0.650136623228491,0.0809341096228158,0.00624293125070697,290,634
166,2219.75342755336,170.452511144121,1491.50598019418,144.853464050322,16.3222930722045,340.416314444618,13.3720085997191,1.02682235628988,5.45796730070379,0.813985992049311,0.0805542686730064,0.00618567684511978,287,637
167,2236.10685408106,170.942172877664,1504.59165448544,145.239632381494,16.3534265276999,341.394684021784,13.389861401683,1.02360582561475,0.0311334554953646,0.978369577166177,0.0801788107885211,0.00612937620128594,284,640
168,2257.96018149174,171.596549080953,1508.42635406094,145.640481114639,21.8533274106717,342.538721958617,13.440239175546,1.02140803024377,5.49990088297182,1.14403793683232,0.0800014236639646,0.00607980970383195,280,644
169,2268.90786938679,171.924381326604,1511.21362794866,146.584998938096,10.9476878950568,343.520930407557,13.4254903514011,1.01730403151837,-10.9056395156149,0.982208448940582,0.0794407713100659,0.0060195504823572,278,647
170,2279.86964943138,172.252645328108,1517.88020034608,152.785152890234,10.961780044584,344.177026654712,13.4109979378316,1.01325085487122,0.0140921495271868,0.656096247155119,0.0788882231637155,0.00596029914630132,276,650
171,2290.84557892281,172.58134283905,1516.39227443809,153.594304670968,10.9759294914347,344.833988167158,13.3967577714784,1.00924761894181,0.0141494468507517,0.656961512445378,0.0783436126987043,0.00590203285930883,274,655
172,2312.84011656481,173.240045438687,1525.04795990913,153.849852103871,21.9945376419955,345.821388277736,13.4467448637489,1.00720956650399,11.0186081505608,0.987400110578619,0.0781787492078423,0.00585586957269763,270,658
173,2323.85884044323,173.570054069767,1528.87848990978,154.247061659989,11.0187238784274,346.810099508454,13.4327100603655,1.00329511022987,-10.9758137635681,0.988711230717172,0.0776457228922862,0.00579939370075067,268,661
174,2345.93948935427,174.231394903842,1536.53568830906,155.041008910275,22.0806489110314,347.801448973608,13.4824108583578,1.0013298557692,11.061925032604,0.991349465154826,0.0774851198756198,0.00575476928602991,264,664
175,2345.93948935427,174.231394903842,1562.8070557092,158.083384850467,0,348.462789807683,13.4053685105958,0.995607970879095,-22.0806489110314,0.661340834074963,0.0766021057748332,0.0056891884050234,264,667
176,2368.07813055658,174.894512463568,1562.8070557092,158.083384850467,22.1386412023153,349.12590736741,13.4549893781624,0.993718820815727,22.1386412023153,0.663117559726288,0.0764488032850136,0.00564612966372572,260,671
177,2390.27523622707,175.559421206406,1560.85825483512,159.156250601468,22.1971056704861,350.453933669974,13.5043798656896,0.991861136759354,0.0584644681707687,1.32802630256401,0.0762959314445743,0.00560373523592855,256,675
178,2401.39586182585,175.89255182154,1568.49940369686,159.94641170169,11.120625598784,351.451973027946,13.4909879877857,0.988160403491798,-11.076480071702,0.998039357972175,0.0757920673471106,0.00555146294096516,254,678
179,2412.53128232376,176.226135707322,1585.70552390052,160.454592125698,11.1354204979048,352.118687528862,13.4778283928701,0.984503551437551,0.0147948991207159,0.666714500915987,0.0752951306864254,0.00550001984043325,252,682
180,2434.84674863011,176.894670660182,1585.70552390052,160.454592125698,22.3154663063569,353.120806367504,13.5269263812784,0.982748170334346,11.1800458084522,1.00211883864222,0.0751495910071023,0.00545971205741303,248,684
181,2446.0269153513,177.229625430778,1597.14131496788,161.638241504066,11.180166721183,354.12429609096,13.5139608582945,0.979169201275017,-11.1352995851739,1.00348972345637,0.0746627671728975,0.00540977459267965,246,688
182,2457.22211879991,177.565040879146,1601.43639802815,161.765108945353,11.1952034486139,354.794666309924,13.5012204329665,0.975632092742561,0.0150367274309247,0.670370218963853,0.0741825298514645,0.0053606158941899,244,692
183,2479.65788040269,178.23726130009,1609.05270086838,162.553419383086,22.4357616027846,355.802302179236,13.5500430623098,0.973974105464972,11.2405581541707,1.0076358693118,0.0740439511601629,0.00532226287139329,240,697
184,2490.89856143898,178.574070037403,1607.125400749,163.621747970914,11.24068103629,356.811331337492,13.5374921817336,0.970511250203275,-11.1950805664947,1.00902915825645,0.0735733270746392,0.00527451766414823,238,699
185,2502.15452496985,178.911346982049,1606.64689475033,163.888634529039,11.2559635308608,357.485417019451,13.5251595944316,0.967088362065129,0.0152824945707835,0.674085681959014,0.0731089707807113,0.00522750465981151,236,702
186,2524.71254804123,179.587313108673,1626.27304980755,127.452139634326,22.558023071384,358.498660090722,13.5737233765657,0.965523188756305,11.3020595405233,1.01324307127015,0.0729770074008911,0.00519098488578659,232,706
187,2536.01473247991,179.926006118061,1635.1103678622,127.71277028451,11.3021844386803,359.513319226733,13.5615761095182,0.962171155711554,-11.2558386327037,1.01465913601169,0.0725217973771028,0.00514530029792275,230,711
188,2547.33244921248,180.265174989701,1643.94301478882,127.973269511925,11.3177167325748,360.191181107761,13.5496406873004,0.958857313775005,0.0155322938944664,0.677861881028093,0.0720725568473428,0.00510030486050534,228,714
189,2570.01473218294,180.944948062473,1661.5944065012,128.493876939303,22.6822829704533,361.210123052174,13.5979615459415,0.957380677579225,11.3645662378785,1.01894194441297,0.0719468864864628,0.00506550623057791,224,718
190,2581.37942538293,181.285556155191,1670.4132067724,128.753986755893,11.3646931999965,362.230504217664,13.5862075020154,0.954134506079953,-11.3175897704568,1.02038116549011,0.0715063552737655,0.00502176055831554,222,720
191,2592.75990480413,181.626647893429,1679.22744688719,129.013968382986,11.3804794211965,362.91220404862,13.5746591874562,0.95092485808078,0.01578622119996,0.681699830955495,0.0710715140704512,0.0049786641784334,220,726
192,2615.56847912902,182.310290179664,1676.5954569057,130.128007850862,22.8085743248876,363.936938073093,13.6227524954636,0.949532761352418,11.4280949036911,1.02473402447322,0.0709518359138731,0.00494548313204384,216,728
193,2626.99670310797,182.65284468496,1632.90433067849,169.424262574579,11.4282239789536,364.963134864624,13.6113818813885,0.946387796295131,-11.3803503459339,1.02619679153122,0.07052529472222,0.00490356371137373,214,733
194,2638.44097146181,182.995890750477,1640.06549287201,170.472470542555,11.4442683538364,365.648735435437,13.6002111931021,0.94327778737359,0.0160443748827674,0.685600570812312,0.0701041814077428,0.00486225663594634,212,737
195,2649.9013494011,183.339430375794,1639.15211172161,171.002650622202,11.4603779392937,366.335321126271,13.5892376892364,0.940202207055354,0.0161095854573432,0.686585690833908,0.0696883984063406,0.00482154977977105,210,739
196,2672.87069624023,184.027998346508,1642.30084395363,174.429509308221,22.9693468391251,367.367428722303,13.6370953889808,0.938918358910757,11.5089688998314,1.03210759603189,0.0695770172907181,0.00479039979036101,206,743
197,2684.37979692795,184.373030733572,1647.00101681242,174.291213663109,11.509100687721,368.401029080081,13.6262933854211,0.935903709307473,-11.4602461514041,1.03360035777814,0.0691690019564521,0.00475078025029174,204,747
198,2707.44718438399,185.064602479825,1655.82863180334,177.043286830498,23.0673874560434,369.437633213397,13.673975678707,0.934669709494064,11.5582867683224,1.03660413331636,0.0690604832257931,0.00472055408835386,200,750
199,2719.00560460678,185.411145932522,1671.9652105729,178.072746232014,11.5584202227838,370.475748412347,13.6633447467677,0.931714301168451,-11.5089672332597,1.03811519894953,0.0686600238531041,0.00468198141290679,198,755
200,2736.37433181801,185.931913876389,1680.4614830319,178.323927238519,17.3687272112356,371.343059808911,13.6818716590901,0.929659569381945,5.81030698845188,0.867311396564219,0.0684093582954503,0.00464829784690972,195,757
201,2742.17223378987,186.105758296538,1680.4614830319,178.323927238519,5.79790197185685,372.037672172927,13.6426479293028,0.925899295007653,-11.5708252393788,0.694612364016393,0.0678738702950389,0.00460646415426693,194,753.666666666667
202,2765.40569893688,186.802418441199,1688.95569930218,178.575053317627,23.2334651470164,372.908176737737,13.6901272224598,0.924764447728709,17.4355631751596,0.87050456481029,0.0677729070418803,0.00457804182043915,190,765
